Ord_id,Prod_id,Ship_id,Cust_id,Sales,Discount,Order_Quantity,Product_Base_Margin
1,1,1,1,26154,0.04,6,0.08
10,3,13,10,8061,0.02,15,0.37
100,8,138,58,12112,0.01,3,0.44
1000,6,1384,373,33471,0.01,25,0.38
1001,5,1385,374,198126,0.07,49,0.76
1002,15,1386,375,175646,0.01,15,0.69
1003,11,1388,376,232035,0.0,6,0.66
1003,9,1387,376,4904,0.02,8,0.38
1004,5,1390,365,19952,0.08,28,0.42
1004,3,1389,365,13954,0.01,26,0.37
1004,7,1391,365,8566,0.04,39,0.52
1005,13,1392,377,3548,0.09,14,0.59
1005,16,1392,377,15,0.05,1,0.58
1006,2,1393,378,175841,0.06,18,0.57
1007,4,1394,379,2766818,0.03,47,0.55
1008,5,1395,380,68967,0.07,38,0.47
1009,17,1396,366,221979,0.01,30,0.37
1009,6,1397,366,23736,0.07,25,0.04
101,4,139,73,13648025,0.07,29,0.83
101,1,139,73,3002,0.0,8,0.57
1010,11,1399,366,40518,0.01,35,0.63
1010,5,1398,366,19523,0.08,35,0.41
1011,3,1400,381,346597,0.08,4,0.38
1011,8,1401,381,130788,0.06,13,0.46
1012,3,1402,382,10451,0.04,13,0.35
1013,4,1403,382,10647865,0.01,12,0.58
1014,6,1404,368,18179,0.06,33,0.36
1014,5,1404,368,13109,0.01,10,0.55
1015,9,1405,370,12406,0.09,17,0.38
1016,8,1406,383,13805,0.09,19,0.69
1017,5,1407,384,43344,0.01,29,0.46
1018,3,1408,362,5559,0.03,8,0.36
1019,4,1409,385,481049,0.09,16,0.55
1019,3,1409,385,11236,0.08,33,0.04
102,6,140,43,12821,0.05,19,0.37
1020,4,4314,1143,2570944,0.03,25,0.58
1020,8,4313,1143,458473,0.07,27,0.48
1020,5,4314,1143,403972,0.02,44,0.67
1020,3,1410,386,5628,0.02,36,0.36
1021,15,1411,387,554499,0.04,43,0.78
1022,4,1412,363,20116355,0.01,12,0.59
1023,6,1413,388,26059,0.09,43,0.37
1024,4,1415,373,368373,0.09,35,0.59
1024,8,1415,373,118453,0.05,31,0.67
1024,3,1414,373,7527,0.06,13,0.37
1025,9,1416,376,3648,0.01,42,0.38
1026,17,1417,363,1560293,0.0,48,0.56
1027,10,1418,366,111882,0.04,8,0.77
1027,7,1419,366,7975,0.01,48,0.49
1028,11,1420,384,1000628,0.01,36,0.78
1028,9,1421,384,40717,0.04,36,0.35
1029,2,1422,389,19993,0.01,14,0.43
103,3,141,48,25279,0.09,9,0.35
1030,1,1423,374,83481,0.03,22,0.57
1031,9,1424,390,33535,0.05,39,0.38
1031,6,1424,448,14831,0.03,20,0.38
1032,2,1425,391,192583,0.09,10,0.55
1033,2,1426,392,6051,0.04,15,0.57
1034,3,1427,393,1135,0.05,15,0.04
1035,1,1429,394,475408,0.0,21,0.72
1035,8,1428,394,35743,0.08,17,0.78
1036,17,1430,395,160132,0.04,13,0.36
1037,6,1431,396,26475,0.08,43,0.37
1038,11,1433,397,572324,0.0,37,0.69
1038,5,1432,397,336724,0.07,44,0.74
1039,6,1434,398,18807,0.0,27,0.37
104,16,142,62,1041999,0.04,1,0.83
104,13,142,62,5097,0.09,10,0.56
1040,4,1437,396,430848,0.06,4,0.06
1040,11,1436,396,194031,0.03,13,0.71
1040,3,1435,396,128128,0.05,43,0.37
1041,5,1438,399,93321,0.05,40,0.51
1042,10,1439,395,74825,0.05,10,0.06
1043,9,1440,400,26039,0.09,15,0.35
1044,10,1441,391,390412,0.07,50,0.06
1044,5,1442,391,34364,0.06,41,0.49
1045,7,1443,391,25664,0.03,42,0.54
1046,6,1445,391,22598,0.01,34,0.37
1046,3,1444,391,18564,0.01,25,0.04
1047,17,1446,1145,668811,0.08,45,0.38
1047,5,1446,401,1673,0.08,1,0.48
1048,3,1447,401,5188,0.01,17,0.37
1049,3,1448,397,4267,0.06,10,0.37
105,15,143,74,1055463,0.09,30,0.64
105,11,144,74,174964,0.04,8,0.77
1050,5,1449,402,69088,0.08,32,0.51
1051,8,1450,401,82424,0.01,32,0.75
1052,3,1451,398,43847,0.02,14,0.35
1053,6,1453,402,29347,0.06,45,0.37
1053,16,1454,402,26278,0.04,23,0.57
1053,8,1452,402,23072,0.08,11,0.65
1053,1,1453,402,14215,0.09,10,0.56
1053,13,1453,402,887,0.06,33,0.44
1054,3,1455,391,33022,0.07,21,0.36
1055,3,1456,402,32171,0.01,6,0.39
1056,2,1457,395,519812,0.01,48,0.57
1056,6,1459,395,71841,0.01,19,0.36
1056,6,1458,395,18853,0.0,23,0.38
1057,5,1460,403,43698,0.07,35,0.48
1058,1,1463,404,355529,0.09,19,0.71
1058,5,1462,404,145248,0.07,24,0.63
1058,8,1461,404,13668,0.01,4,0.75
1059,7,1464,393,7112,0.01,38,0.83
106,4,146,67,6175777,0.07,49,0.55
106,5,145,67,194372,0.03,47,0.73
106,13,145,67,1837,0.01,6,0.58
1060,5,1465,405,69109,0.08,9,0.43
1060,13,1466,405,7137,0.02,33,0.55
1061,8,1467,397,3333,0.03,15,0.43
1062,3,1468,397,14931,0.0,13,0.36
1062,3,1468,397,8577,0.03,27,0.36
1063,6,1469,406,543,0.01,6,0.37
1064,17,1470,404,140986,0.07,1,0.57
1065,15,1471,407,984311,0.07,35,0.78
1065,17,1472,407,719006,0.08,15,0.38
1066,4,1473,406,37015205,0.05,38,0.58
1067,1,1474,397,733345,0.07,27,0.08
1068,8,1475,398,425651,0.03,41,0.46
1068,8,1475,398,50308,0.01,12,0.74
1068,12,1476,398,7694,0.0,15,0.39
1069,13,1477,402,25299,0.08,37,0.47
107,6,147,75,15797,0.01,6,0.39
1070,17,1478,400,1730485,0.05,36,0.38
1070,6,1479,400,79432,0.08,20,0.36
1071,8,1480,408,16389,0.02,31,0.66
1071,6,1480,408,11545,0.07,12,0.39
1072,4,1482,401,1642642,0.08,44,0.56
1072,8,1481,401,15494,0.09,2,0.76
1073,3,1484,410,27043,0.07,37,0.35
1074,2,1485,411,133925,0.03,24,0.56
1075,10,1486,411,120937,0.09,8,0.65
1076,5,1488,412,138188,0.09,32,0.44
1076,3,1487,412,40424,0.02,23,0.37
1077,8,1489,411,130735,0.05,43,0.74
1077,1,1490,411,52358,0.01,3,0.66
1078,3,1491,413,25797,0.03,19,0.04
1079,3,1492,414,61977,0.02,42,0.38
108,6,148,76,14484,0.09,25,0.36
108,13,149,76,12716,0.09,20,0.52
1080,2,1493,415,751203,0.09,21,0.57
1081,4,1494,416,28538835,0.06,27,0.58
1082,8,1495,417,24063,0.02,31,0.69
1083,13,1496,418,19233,0.01,44,0.44
1084,12,1497,417,8062021,0.09,3,0.39
1085,10,1498,412,166383,0.01,13,0.69
1086,6,1499,419,26535,0.02,24,0.04
1087,2,1500,412,738119,0.04,40,0.56
1088,9,1501,417,94536,0.01,25,0.04
1089,2,1502,416,904633,0.0,46,0.57
1089,2,1503,416,36796,0.06,43,0.58
1089,9,1504,416,15905,0.04,27,0.36
1089,12,1505,416,11614,0.01,39,0.36
109,17,150,68,547212,0.06,4,0.59
1090,15,1506,420,334411,0.03,18,0.59
1091,3,1507,421,463,0.07,32,0.38
1092,5,5831,1426,92782,0.02,43,0.49
1092,7,5832,1426,12337,0.09,27,0.08
1092,5,1508,413,9075,0.02,6,0.73
1093,13,1509,422,11309,0.04,39,0.04
1094,2,1510,412,160327,0.01,27,0.57
1095,8,6849,1688,165107,0.09,42,0.74
1095,3,1511,418,4153,0.04,4,0.38
1096,14,1512,423,222261,0.02,3,0.41
1097,4,1513,417,6181965,0.02,11,0.58
1098,17,1514,424,523614,0.05,13,0.56
1098,6,1515,424,7402,0.07,11,0.37
1099,13,1516,425,19808,0.02,47,0.56
11,5,14,8,181549,0.03,46,0.53
110,15,151,65,181067,0.09,7,0.77
1100,4,1517,426,32769965,0.0,30,0.59
1100,2,1517,426,155366,0.03,28,0.57
1101,11,1521,424,1788453,0.04,45,0.71
1101,17,1519,424,1257163,0.09,45,0.39
1101,3,1518,424,36316,0.08,26,0.38
1101,13,1520,424,12886,0.0,21,0.55
1102,13,1523,427,103819,0.07,40,0.57
1102,8,1522,427,548,0.0,5,0.43
1103,13,1524,410,5175,0.05,9,0.06
1104,2,1525,411,77256,0.04,34,0.55
1105,5,1526,422,10873,0.04,16,0.06
