Order_Date,Order_Priority,Ord_id
2010-10-13,LOW,1
2012-10-01,HIGH,2
2011-07-10,HIGH,3
2010-08-28,NOT SPECIFIED,4
2011-06-17,HIGH,5
2011-03-24,HIGH,6
2010-02-26,LOW,7
2010-11-23,MEDIUM,8
2012-06-08,NOT SPECIFIED,9
2012-08-04,NOT SPECIFIED,10
2011-05-30,MEDIUM,11
2009-11-25,NOT SPECIFIED,12
2012-02-14,CRITICAL,13
2012-04-15,LOW,14
2010-03-12,NOT SPECIFIED,15
2011-03-09,LOW,16
2012-08-04,HIGH,17
2011-05-06,HIGH,18
2010-12-23,HIGH,19
2010-11-08,LOW,20
2012-10-21,NOT SPECIFIED,21
2011-01-01,NOT SPECIFIED,22
2011-10-10,HIGH,23
2010-09-23,LOW,24
2011-07-19,CRITICAL,25
2009-10-09,HIGH,26
2010-12-09,NOT SPECIFIED,27
2012-10-08,CRITICAL,28
2012-05-02,HIGH,29
2010-03-08,MEDIUM,30
2011-05-28,NOT SPECIFIED,31
2010-09-19,MEDIUM,32
2011-08-31,HIGH,33
2011-07-08,NOT SPECIFIED,34
2009-01-30,CRITICAL,35
2012-01-08,LOW,36
2010-11-07,CRITICAL,37
2010-04-29,NOT SPECIFIED,38
2011-12-31,NOT SPECIFIED,39
2009-08-12,HIGH,40
2011-11-12,LOW,41
2012-01-20,HIGH,42
2009-03-20,MEDIUM,43
2012-07-21,LOW,44
2012-06-12,CRITICAL,45
2009-01-15,LOW,46
2010-06-04,LOW,47
2010-02-18,NOT SPECIFIED,48
2011-11-16,NOT SPECIFIED,49
2011-08-07,LOW,50
2010-06-08,MEDIUM,51
2009-10-17,MEDIUM,52
2011-08-28,HIGH,53
2011-09-29,CRITICAL,54
2012-05-04,LOW,55
2011-05-17,HIGH,56
2009-11-17,MEDIUM,57
2011-10-10,NOT SPECIFIED,58
2012-10-07,NOT SPECIFIED,59
2011-08-13,MEDIUM,60
2011-08-16,HIGH,61
2009-03-04,LOW,62
2009-08-18,CRITICAL,63
2010-11-16,NOT SPECIFIED,64
2011-05-27,LOW,65
2010-08-23,NOT SPECIFIED,66
2011-08-19,NOT SPECIFIED,67
2012-01-03,MEDIUM,68
2012-11-29,HIGH,69
2012-03-17,MEDIUM,70
2010-04-12,LOW,71
2010-08-24,HIGH,72
2011-07-04,HIGH,73
2010-11-10,CRITICAL,74
2010-06-24,CRITICAL,75
2012-09-19,MEDIUM,76
2011-12-24,LOW,77
2012-03-23,MEDIUM,78
2011-10-15,CRITICAL,79
2010-08-07,CRITICAL,80
2009-03-03,LOW,81
2010-02-09,LOW,82
2009-01-17,CRITICAL,83
2010-08-30,CRITICAL,84
2009-09-11,HIGH,85
2009-07-16,NOT SPECIFIED,86
2012-11-15,LOW,87
2011-09-10,LOW,88
2011-04-10,NOT SPECIFIED,89
2011-10-09,HIGH,90
2012-10-23,CRITICAL,91
2012-01-08,LOW,92
2010-01-25,NOT SPECIFIED,93
