Order_ID,Ship_Mode,Ship_Date,Ship_id
3,REGULAR AIR,2010-10-20,1
293,DELIVERY TRUCK,2012-10-02,2
293,REGULAR AIR,2012-10-03,3
483,REGULAR AIR,2011-07-12,4
515,REGULAR AIR,2010-08-30,5
613,REGULAR AIR,2011-06-17,6
613,REGULAR AIR,2011-06-18,7
643,EXPRESS AIR,2011-03-25,8
678,REGULAR AIR,2010-02-26,9
807,REGULAR AIR,2010-11-24,10
868,REGULAR AIR,2012-06-09,11
868,REGULAR AIR,2012-06-10,12
933,REGULAR AIR,2012-08-04,13
995,REGULAR AIR,2011-05-31,14
998,REGULAR AIR,2009-11-26,15
1154,DELIVERY TRUCK,2012-02-16,16
1154,REGULAR AIR,2012-02-16,17
1344,REGULAR AIR,2012-04-22,18
1344,REGULAR AIR,2012-04-19,19
1412,EXPRESS AIR,2010-03-14,20
1412,REGULAR AIR,2010-03-14,21
1539,REGULAR AIR,2011-03-11,22
1539,REGULAR AIR,2011-03-14,23
1540,REGULAR AIR,2012-08-06,24
1702,REGULAR AIR,2011-05-07,25
1761,DELIVERY TRUCK,2010-12-25,26
1792,REGULAR AIR,2010-11-13,27
2275,REGULAR AIR,2012-10-22,28
2277,REGULAR AIR,2011-01-02,29
2277,REGULAR AIR,2011-01-03,30
2532,REGULAR AIR,2011-10-11,31
2631,REGULAR AIR,2010-09-25,32
2757,DELIVERY TRUCK,2011-07-19,33
2791,REGULAR AIR,2009-10-09,34
2791,DELIVERY TRUCK,2009-10-11,35
2791,REGULAR AIR,2009-10-10,36
2976,DELIVERY TRUCK,2010-12-11,37
3232,REGULAR AIR,2012-10-10,38
3524,REGULAR AIR,2012-05-03,39
3908,REGULAR AIR,2010-03-08,40
4132,REGULAR AIR,2011-05-30,41
4612,REGULAR AIR,2010-09-21,42
4676,REGULAR AIR,2011-09-01,43
4676,REGULAR AIR,2011-09-02,44
4676,EXPRESS AIR,2011-09-02,45
5284,REGULAR AIR,2011-07-10,46
5316,REGULAR AIR,2009-02-01,47
5409,REGULAR AIR,2012-01-13,48
5506,REGULAR AIR,2010-11-08,49
5569,REGULAR AIR,2010-05-01,50
5607,REGULAR AIR,2012-01-03,51
5894,REGULAR AIR,2009-08-13,52
5894,REGULAR AIR,2009-08-15,53
5925,REGULAR AIR,2011-11-19,54
6016,REGULAR AIR,2012-01-20,55
6116,REGULAR AIR,2009-03-22,56
6182,REGULAR AIR,2012-07-28,57
6182,EXPRESS AIR,2012-07-25,58
6535,EXPRESS AIR,2012-06-15,59
6884,REGULAR AIR,2009-01-20,60
6916,EXPRESS AIR,2010-06-08,61
6980,REGULAR AIR,2010-02-19,62
6982,EXPRESS AIR,2011-11-18,63
6982,DELIVERY TRUCK,2011-11-18,64
6982,REGULAR AIR,2011-11-18,65
7110,REGULAR AIR,2011-08-11,66
7430,REGULAR AIR,2010-06-09,67
7906,REGULAR AIR,2009-10-17,68
8391,DELIVERY TRUCK,2011-08-29,69
8419,EXPRESS AIR,2011-10-01,70
8419,REGULAR AIR,2011-09-30,71
8833,REGULAR AIR,2012-05-08,72
8995,EXPRESS AIR,2011-05-18,73
8995,REGULAR AIR,2011-05-18,74
8995,REGULAR AIR,2011-05-19,75
9126,REGULAR AIR,2009-11-18,76
9127,EXPRESS AIR,2011-10-12,77
9509,DELIVERY TRUCK,2012-10-08,78
9509,EXPRESS AIR,2012-10-08,79
9509,REGULAR AIR,2012-10-07,80
9763,REGULAR AIR,2011-08-16,81
9927,DELIVERY TRUCK,2011-08-17,82
9927,REGULAR AIR,2011-08-17,83
9927,EXPRESS AIR,2011-08-17,84
10022,REGULAR AIR,2009-03-04,85
10437,REGULAR AIR,2009-08-20,86
10499,DELIVERY TRUCK,2010-11-17,87
10535,REGULAR AIR,2011-05-29,88
10535,REGULAR AIR,2011-06-03,89
10789,EXPRESS AIR,2010-08-24,90
10791,REGULAR AIR,2011-08-21,91
10945,REGULAR AIR,2012-01-05,92
11137,REGULAR AIR,2012-11-30,93
11202,REGULAR AIR,2012-03-18,94
11456,REGULAR AIR,2010-04-19,95
11460,REGULAR AIR,2010-08-26,96
11495,DELIVERY TRUCK,2011-07-05,97
11911,REGULAR AIR,2010-11-12,98
11941,REGULAR AIR,2010-06-25,99
11941,DELIVERY TRUCK,2010-06-25,100
12096,REGULAR AIR,2012-09-19,101
12096,REGULAR AIR,2012-09-21,102
12289,REGULAR AIR,2011-12-28,103
12352,REGULAR AIR,2012-03-24,104
12419,REGULAR AIR,2011-10-17,105
12485,DELIVERY TRUCK,2010-08-08,106
12544,REGULAR AIR,2009-03-10,107
12704,REGULAR AIR,2010-02-09,108
12704,DELIVERY TRUCK,2010-02-11,109
12771,REGULAR AIR,2009-01-17,110
12771,REGULAR AIR,2009-01-19,111
12929,DELIVERY TRUCK,2010-08-31,112
12929,REGULAR AIR,2010-08-31,113
13280,REGULAR AIR,2009-09-12,114
13313,REGULAR AIR,2009-07-17,115
13346,REGULAR AIR,2012-11-20,116
13702,REGULAR AIR,2011-09-14,117
13795,REGULAR AIR,2011-04-13,118
13795,EXPRESS AIR,2011-04-13,119
13795,REGULAR AIR,2011-04-11,120
14116,REGULAR AIR,2011-10-11,121
14116,REGULAR AIR,2011-10-10,122
14372,DELIVERY TRUCK,2012-10-25,123
14726,REGULAR AIR,2012-01-08,124
14819,REGULAR AIR,2010-01-27,125
14819,DELIVERY TRUCK,2010-01-26,126
15106,REGULAR AIR,2011-01-29,127
15106,DELIVERY TRUCK,2011-01-27,128
15108,REGULAR AIR,2009-08-29,129
15205,DELIVERY TRUCK,2011-03-19,130
15205,REGULAR AIR,2011-03-18,131
15591,REGULAR AIR,2012-06-08,132
15907,DELIVERY TRUCK,2011-04-13,133
15907,EXPRESS AIR,2011-04-14,134
15907,REGULAR AIR,2011-04-12,135
15937,REGULAR AIR,2012-11-10,136
15937,EXPRESS AIR,2012-11-15,137
16039,REGULAR AIR,2012-05-17,138
16193,REGULAR AIR,2012-04-11,139
16423,REGULAR AIR,2012-08-07,140
16451,REGULAR AIR,2009-07-23,141
16545,REGULAR AIR,2010-05-11,142
16547,DELIVERY TRUCK,2009-02-20,143
16547,DELIVERY TRUCK,2009-02-18,144
16706,REGULAR AIR,2012-06-28,145
16706,EXPRESS AIR,2012-06-29,146
16741,REGULAR AIR,2010-10-01,147
16932,REGULAR AIR,2010-04-16,148
16932,REGULAR AIR,2010-04-15,149
17283,DELIVERY TRUCK,2011-09-15,150
17286,DELIVERY TRUCK,2010-09-22,151
17409,REGULAR AIR,2010-08-19,152
17764,REGULAR AIR,2009-09-16,153
18080,DELIVERY TRUCK,2009-06-23,154
18113,DELIVERY TRUCK,2012-08-30,155
18144,REGULAR AIR,2011-06-09,156
18308,REGULAR AIR,2009-10-11,157
18308,REGULAR AIR,2009-10-09,158
18308,REGULAR AIR,2009-10-10,159
18887,REGULAR AIR,2010-12-07,160
19010,REGULAR AIR,2009-06-09,161
19078,REGULAR AIR,2009-07-28,162
19138,EXPRESS AIR,2011-09-10,163
19655,REGULAR AIR,2009-01-12,164
19686,REGULAR AIR,2010-08-15,165
19686,REGULAR AIR,2010-08-17,166
20007,REGULAR AIR,2009-08-06,167
20071,DELIVERY TRUCK,2011-09-19,168
20160,EXPRESS AIR,2011-10-24,169
20263,REGULAR AIR,2009-11-15,170
20263,REGULAR AIR,2009-11-16,171
21285,REGULAR AIR,2010-07-04,172
21285,REGULAR AIR,2010-07-05,173
21383,REGULAR AIR,2009-02-04,174
21607,REGULAR AIR,2012-03-17,175
21636,REGULAR AIR,2009-08-10,176
21889,REGULAR AIR,2010-04-08,177
21889,REGULAR AIR,2010-04-03,178
22151,REGULAR AIR,2010-07-31,179
22342,REGULAR AIR,2009-06-05,180
22469,REGULAR AIR,2010-10-13,181
22501,EXPRESS AIR,2010-05-19,182
22532,REGULAR AIR,2011-02-08,183
23264,REGULAR AIR,2010-12-09,184
